age,period,Mean,SD,LB,UB,race,type
1,1,0,0,0,0,Hispanic,Prevalence
2,1,0.0346634380718315,0.00400227551753371,0.027825910257979,0.0435585508712601,Hispanic,Prevalence
3,1,0.0675594437450908,0.00748938279351962,0.0546792109562064,0.0841174334517927,Hispanic,Prevalence
4,1,0.0987810025890948,0.010507001741499,0.0805402109792465,0.122033554110075,Hispanic,Prevalence
5,1,0.128416053844336,0.0130973642464047,0.105534779774951,0.15726847123452,Hispanic,Prevalence
6,1,0.156547772835815,0.015299523792157,0.129605615280431,0.189996227154286,Hispanic,Prevalence
7,1,0.183254837094566,0.0171496065982164,0.152803064747754,0.220422007700396,Hispanic,Prevalence
8,1,0.20861167715566,0.0186810458927248,0.175108153754849,0.249097746363729,Hispanic,Prevalence
9,1,0.232688712941701,0.0199248008548533,0.196495326161283,0.275820091240424,Hispanic,Prevalence
10,1,0.255552576585328,0.0209095616710303,0.217340896585621,0.300460513852094,Hispanic,Prevalence
11,1,0.277266322492192,0.0216619420655806,0.237564763976193,0.32356531396797,Hispanic,Prevalence
12,1,0.297889625397125,0.0222066605812588,0.257005601407643,0.345095129640427,Hispanic,Prevalence
13,1,0.317478967120483,0.0225667117924307,0.275748531025629,0.365176399493945,Hispanic,Prevalence
14,1,0.336087812688805,0.0227635285234369,0.293656370384211,0.383832854119305,Hispanic,Prevalence
15,1,0.353766776443733,0.0228171360030004,0.311087691755267,0.401489649646823,Hispanic,Prevalence
16,1,0.37056377872545,0.0227462986928082,0.327733540938365,0.417539520427682,Hispanic,Prevalence
17,1,0.386524193681562,0.022568660257824,0.343864902037177,0.432735538052242,Hispanic,Prevalence
18,1,0.401690988719195,0.02230087676214,0.359400057074247,0.447605406568617,Hispanic,Prevalence
19,1,0.416104856086956,0.0219587426330005,0.374341574928416,0.460983765460883,Hispanic,Prevalence
20,1,0.429804337044281,0.021557308186021,0.388149395080163,0.473496510805428,Hispanic,Prevalence
21,1,0.442825939048251,0.0211109864959572,0.401686433077302,0.485348727005797,Hispanic,Prevalence
22,1,0.455204246362327,0.0206336460956489,0.414995942389005,0.496808709414811,Hispanic,Prevalence
23,1,0.466972024467284,0.0201386844038253,0.427913177238664,0.507333273246684,Hispanic,Prevalence
24,1,0.478160318632038,0.0196390750293102,0.440198679192966,0.51712669989008,Hispanic,Prevalence
25,1,0.488798546980786,0.0191473804481148,0.451450643726253,0.526196972185344,Hispanic,Prevalence
26,1,0.498914588372927,0.018675720513256,0.462148300216248,0.535108257240129,Hispanic,Prevalence
27,1,0.508534865393513,0.0182356876286177,0.472120695943833,0.543749968177893,Hispanic,Prevalence
28,1,0.517684422734382,0.0178382022101797,0.481606249001167,0.552266393734798,Hispanic,Prevalence
29,1,0.526387001229591,0.0174933082346465,0.491125245072286,0.56022610050745,Hispanic,Prevalence
30,1,0.534665107793271,0.0172099186159918,0.500086259448461,0.56759464570907,Hispanic,Prevalence
31,1,0.542540081493416,0.0169955329258211,0.508382141109672,0.575213155251395,Hispanic,Prevalence
32,1,0.550032155981444,0.0168559627962445,0.516311153222868,0.582741679209409,Hispanic,Prevalence
33,1,0.557160518484482,0.0167951087870199,0.523771518449243,0.589800826367836,Hispanic,Prevalence
34,1,0.563943365555235,0.01681483194926,0.530402153759965,0.596432345642524,Hispanic,Prevalence
35,1,0.570397955762929,0.016914951380107,0.537091663553497,0.603065491416874,Hispanic,Prevalence
36,1,0.576540659498134,0.0170933775861228,0.542961864751103,0.609190122950857,Hispanic,Prevalence
37,1,0.582387006054212,0.0173463665565866,0.548257083112684,0.615620491612232,Hispanic,Prevalence
38,1,0.587951728138716,0.0176688588989724,0.552673169832552,0.621704686628459,Hispanic,Prevalence
39,1,0.593248803959157,0.0180548580507048,0.556559732433134,0.627729180278585,Hispanic,Prevalence
40,1,0.598291497019218,0.0184978028917231,0.560537220386832,0.634036973420136,Hispanic,Prevalence
41,1,0.603092393753636,0.0189909002284482,0.563919652809585,0.639456211815539,Hispanic,Prevalence
42,1,0.607663439122578,0.0195273966967811,0.567758842106028,0.644387204419404,Hispanic,Prevalence
43,1,0.612015970279404,0.0201007831038199,0.571374074140133,0.649805257204726,Hispanic,Prevalence
44,1,0.616160748419133,0.0207049343595023,0.574655780091817,0.655266957389756,Hispanic,Prevalence
45,1,0.620107988908825,0.0213341941552848,0.577282442275551,0.660280634673202,Hispanic,Prevalence
46,1,0.623867389795252,0.0219834159697423,0.579357282428296,0.665004218940898,Hispanic,Prevalence
47,1,0.62744815877982,0.0226479719199309,0.581535166576742,0.669606579790932,Hispanic,Prevalence
48,1,0.630859038745542,0.0233237395335745,0.583610343294479,0.674225165098986,Hispanic,Prevalence
49,1,0.634108331916062,0.024007074529448,0.585471682317466,0.678625394516811,Hispanic,Prevalence
50,1,0.637203922722169,0.0246947756877004,0.587143456740387,0.683202904938398,Hispanic,Prevalence
51,1,0.640153299446954,0.0253840461370287,0.58904544942884,0.687325147837508,Hispanic,Prevalence
52,1,0.64296357471674,0.0260724539778122,0.590877189023517,0.690786091832787,Hispanic,Prevalence
53,1,0.64564150490114,0.026757894097824,0.592657027118839,0.694967647305371,Hispanic,Prevalence
54,1,0.648193508481965,0.0274385522727184,0.594106788910089,0.699273387623386,Hispanic,Prevalence
55,1,0.650625683447413,0.0281128721159437,0.595574813357861,0.703609755131272,Hispanic,Prevalence
56,1,0.652943823764726,0.0287795250931591,0.597142770041392,0.707489374153198,Hispanic,Prevalence
57,1,0.655153434981569,0.0294373835948968,0.598342813785557,0.711323773912866,Hispanic,Prevalence
58,1,0.65725974900353,0.0300854969291506,0.599132059647306,0.714641710444769,Hispanic,Prevalence
59,1,0.659267738092506,0.0307230700237348,0.600116455422182,0.717736531624556,Hispanic,Prevalence
60,1,0.661182128128238,0.0313494445957968,0.601168498086916,0.721172459683389,Hispanic,Prevalence
61,1,0.663007411172891,0.0319640825382048,0.602115861150173,0.724323310789866,Hispanic,Prevalence
62,1,0.664747857376357,0.0325665512797769,0.603062000305176,0.727639303646798,Hispanic,Prevalence
63,1,0.666407526257878,0.0331565108918783,0.603898284129772,0.730571989904413,Hispanic,Prevalence
64,1,0.667990277397575,0.0337337027335312,0.604568456574343,0.733924133671028,Hispanic,Prevalence
65,1,0.669499780569658,0.0342979394481789,0.605078656780522,0.736646893286648,Hispanic,Prevalence
66,1,0.670939525347281,0.0348490961460091,0.605554501575073,0.73970462166871,Hispanic,Prevalence
67,1,0.672312830207394,0.0353871026253528,0.606006831404411,0.74194214981685,Hispanic,Prevalence
68,1,0.673622851162355,0.0359119365046684,0.606415978661551,0.744559641479144,Hispanic,Prevalence
69,1,0.674872589943597,0.0364236171528184,0.606794540686603,0.746998415519499,Hispanic,Prevalence
70,1,0.676064901761268,0.0369222003197155,0.60715185860862,0.749442749494568,Hispanic,Prevalence
71,1,0.677202502662428,0.0374077733820697,0.607580028618473,0.751583418220002,Hispanic,Prevalence
72,1,0.67828797650916,0.0378804511300123,0.607940053784501,0.753867762098044,Hispanic,Prevalence
73,1,0.679323781596801,0.0383403720299864,0.608351823729018,0.755833053319124,Hispanic,Prevalence
74,1,0.680312256931349,0.0387876949076303,0.608761982975071,0.757718942420628,Hispanic,Prevalence
75,1,0.681255628184129,0.0392225960015921,0.60896180121539,0.759503445664294,Hispanic,Prevalence
76,1,0.682156013340741,0.0396452663454533,0.609147421736212,0.761758018252126,Hispanic,Prevalence
77,1,0.683015428060469,0.0400559094403319,0.60931985349922,0.763482791570827,Hispanic,Prevalence
78,1,0.683835790761371,0.0404547391853939,0.609540332776084,0.765529060293272,Hispanic,Prevalence
79,1,0.684618927445516,0.0408419780375383,0.60979543828941,0.767547249121504,Hispanic,Prevalence
